Book Name,Price,Rating,Stock,Product Link,Page
A Light in the Attic,Â£51.77,Three,In stock,https://books.toscrape.com/catalogue/catalogue/a-light-in-the-attic_1000/index.html,1
Tipping the Velvet,Â£53.74,One,In stock,https://books.toscrape.com/catalogue/catalogue/tipping-the-velvet_999/index.html,1
Soumission,Â£50.10,One,In stock,https://books.toscrape.com/catalogue/catalogue/soumission_998/index.html,1
Sharp Objects,Â£47.82,Four,In stock,https://books.toscrape.com/catalogue/catalogue/sharp-objects_997/index.html,1
Sapiens: A Brief History of Humankind,Â£54.23,Five,In stock,https://books.toscrape.com/catalogue/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,1
The Requiem Red,Â£22.65,One,In stock,https://books.toscrape.com/catalogue/catalogue/the-requiem-red_995/index.html,1
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,Four,In stock,https://books.toscrape.com/catalogue/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,Three,In stock,https://books.toscrape.com/catalogue/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,Four,In stock,https://books.toscrape.com/catalogue/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,1
The Black Maria,Â£52.15,One,In stock,https://books.toscrape.com/catalogue/catalogue/the-black-maria_991/index.html,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,Two,In stock,https://books.toscrape.com/catalogue/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,1
Shakespeare's Sonnets,Â£20.66,Four,In stock,https://books.toscrape.com/catalogue/catalogue/shakespeares-sonnets_989/index.html,1
Set Me Free,Â£17.46,Five,In stock,https://books.toscrape.com/catalogue/catalogue/set-me-free_988/index.html,1
